NAME_2,education_index,health_index,publictransport_index,shop_index,green_index,composite_index,rank_composite
Bugabula,53.01578294805845,3.3807004919698715,1.0407233210332762,4.252654810796089,0.225387829872568,10.531904428921662,116
Bulamogi,60.6893065968819,15.090827479622476,0.4060731300318161,5.413163879509616,0.1826912310189136,14.942098155523482,78
Buzaaya,54.100075261313194,3.6081726912783783,1.9082525284209584,1.2800798069192671,0.5769814307307609,10.462069470295827,118
Kibale,50.98958093093662,9.792859445713535,2.1235836549829084,1.4851901522717668,0.4819534258835868,11.585758981947873,106
Kitagwenda,57.385960917963565,24.69282632264025,0.8522043363527971,0.3473893583518451,1.9050841637517448,16.29765651293667,70
Kinkiizi,65.7959786653551,25.9846480152375,4.967817573229948,12.982596083956748,0.2844973275704224,21.491212762515858,34
Kongasis,56.50551016562603,0.1916142788888304,0.420884350730046,0.4457934656920438,0.6788892483088514,9.453763405497762,127
Kween,55.96773732109607,0.8441512623810858,0.6963316160718193,1.2503054955080717,10.15908845635015,12.148894413337462,99
Tingey,56.278027659375695,15.663209122494129,10.758198082813612,13.806842502929806,1.470058775932632,19.203592794338174,46
Bukonjo,52.25953189544165,26.676903184153,1.069733646375269,0.9285077219722668,0.1517465769289357,15.657724233022202,73
Busongora,47.90443352341436,25.935202691291163,20.637430998850892,20.639849543213742,0.303961457485109,24.19001990312482,30
Amuria,37.08187176886237,15.374845998308306,0.679580132993465,14.037856678707024,0.6080451709951741,12.932015099736645,95
Kapelebyong,41.48374863468652,7.936972809947526,0.2212164015986406,0.6465033303044693,6.7544901834567,10.339085104800258,119
Usuk,36.40682391612527,4.22403971731043,0.2278345381258268,0.1703280707641041,0.2870101154548156,6.781450980054206,144
Bbaale,30.60379038802386,1.4021026459147674,0.3955626385584017,0.3362935998654384,0.2731229755499051,5.123715250024725,149
Ntenjeru,54.39248179189854,5.154585259357796,5.103997819574339,0.7219850826416889,0.7255657975755011,11.680410520746623,104
Bugangaizi,45.38502373802159,12.58516537341684,0.4514240038296683,0.1514288880833982,0.2459176501070325,10.535935081999392,115
Buyaga,55.0168069782643,15.989753554090418,0.3894908646542704,1.0800597128805276,0.8015445177444026,13.408112612862071,91
Buyanja,54.57210332958442,16.293412460627174,6.783964726449182,0.2312106735948211,0.2163702995149993,14.786569951071751,82
Kiboga,37.11203965918277,6.794890663916245,0.1254502025695158,0.0373077246153702,0.1709912251703916,7.479261796594162,139
Kisoro,64.44076255833741,35.44121941478922,7.483595307034195,47.64801730269205,0.5087409306490754,31.833798108564476,19
Chua,23.579653834881995,2.313541183823419,0.2242983040786231,0.4300019066398202,0.9872695080503476,4.288246677391975,150
Lamwo,25.467637039531223,11.83167080139132,0.0,0.3905065329588805,1.3687044217251891,7.087430270526706,140
Dodoth,28.850322664099348,19.216252237507035,1.1040241679022758,0.0,0.0,9.439888756003077,128
